shipment_id,stop_id,racks,spaces,time spent,% of distance covered,name,lat,lon,distance to dest,distance,% of journey covered
sensitech-AE16645,4,4,4,29.46666667,73.46948975,"7720 TN-222, Stanton, TN 38069",35.3903866,-89.4129913,56.56611111,271.1024172,73.46948975
sensitech-AE53507,4,4,4,37.06666667,73.46948975,"7720 TN-222, Stanton, TN 38069",35.3903866,-89.4129913,56.56611111,271.1024172,73.46948975
sensitech-AD92255,5,5,5,20.08333333,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305",35.6792344,-88.7446349,122.0759968,230.2032596,62.38570721
sensitech-AE11070,5,5,5,75.78333333,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305",35.6792344,-88.7446349,122.0759968,230.2032596,62.38570721
sensitech-AE25850,5,5,5,54.41666667,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305",35.6792344,-88.7446349,122.0759968,230.2032596,62.38570721
sensitech-AE27094,5,5,5,38.05,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305",35.6792344,-88.7446349,122.0759968,230.2032596,62.38570721
sensitech-AE44020,5,5,5,39.8,62.38570721,"2050 Hwy 70 E, Jackson, TN 38305",35.6792344,-88.7446349,122.0759968,230.2032596,62.38570721
sensitech-AD100115,7,7,7,24.95,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE19390,7,7,7,19.05,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE46574,7,7,7,21.98333333,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE49420,7,7,7,31.3,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE62419,7,7,7,20,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE70756,7,7,7,20.53333333,50.08531176,"15559 Highway 13 South, Hurricane Mills, TN 37078",35.882302,-87.8040224,205.447794,184.8148004,50.08531176
sensitech-AE11065,10,10,10,18.36666667,3.107219414,"150 Plaza Park Rd, Lebanon Junction, KY 40150",37.8270323,-85.7265185,481.6304575,11.46563964,3.107219414
sensitech-AE46583,11,11,11,19.83333333,41.05451944,"162 Luyben Hills Rd, Kingston Springs, TN 37082",36.0829144,-87.0969804,272.2482112,151.4911767,41.05451944
sensitech-AE62435,11,11,11,19.91666667,41.05451944,"162 Luyben Hills Rd, Kingston Springs, TN 37082",36.0829144,-87.0969804,272.2482112,151.4911767,41.05451944
sensitech-AD92258,13,13,13,20.13333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.2102874,168.3684712,45.62831197
sensitech-AD92264,13,13,13,25.23333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.2102874,168.3684712,45.62831197
